model,node_count,agent_count,tokens_per_second,simulated_duration_ms,completed_token_count,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,remote_expert_route_fraction,mean_compute_busy_fraction,mean_memory_bandwidth_busy_fraction,maximum_network_link_busy_fraction
DeepSeek V4.1 Flash,3,4,198.98224686130956,650.0,128,20.130686173395762,24.53951442136693,1.0094979647218454,0.6798941798941799,0.7766403825486853,0.7766403825486853,0.01734803233234932
DeepSeek V4.1 Flash,3,5,220.87264866839203,600.0,130,22.557440795966084,27.86449255158644,1.0197628458498025,0.6641025641025641,0.8435888015555885,0.8435888015555885,0.0180042946164997
DeepSeek V4.1 Flash,3,6,252.55791278666976,550.0,138,23.656673472701545,28.492733080248954,1.0363636363636364,0.6691729323308271,0.9506643203819115,0.9506643203819115,0.01878762412118019
DeepSeek V4.1 Flash,3,7,257.13076003560514,550.0,138,27.080396796349774,32.83595707869202,1.026615969581749,0.6702898550724637,0.9494044074200197,0.9494044074200197,0.020962441064746117
DeepSeek V4.1 Flash,3,8,270.28241689151906,500.0,134,29.053226783615447,34.448446143801746,1.0589849108367626,0.6590330788804071,0.9606801797349184,0.9606801797349184,0.02230795932933271
DeepSeek V4.1 Flash,3,10,285.78604539596506,450.0,129,34.01394527903317,42.47885375526375,1.0562770562770563,0.6586666666666666,0.9832093436070443,0.9832093436070443,0.022547984815543515
DeepSeek V4.1 Flash,3,15,343.1734719638611,450.0,150,43.32434768516921,55.000353977987764,1.106267029972752,0.653755868544601,0.9975560945469774,0.9975560945469774,0.026827283993655186
DeepSeek V4.1 Flash,3,22,354.8061427554323,650.0,232,58.46010792461821,68.86008148859703,1.1827272727272726,0.6456521739130435,0.9920202952232285,0.9920202952232285,0.025891599829114726
DeepSeek V4.1 Flash,3,32,409.5716770831203,850.0,338,77.45111841663032,97.41279677076658,1.2653342522398345,0.6762513312034079,1.0,1.0,0.02852321520581592
DeepSeek V4.1 Flash,3,46,449.8509573460493,1100.0,494,99.5751992015551,121.08544487784698,1.4834867352463454,0.6799283154121863,0.9998327785020638,0.9998327785020638,0.03424696277735871
DeepSeek V4.1 Flash,3,68,487.6952418258111,1400.0,681,130.67114120085859,157.53931674429845,1.7901578458681522,0.6745213549337261,0.9997365939307016,0.9997365939307016,0.0373303295906696
DeepSeek V4.1 Flash,3,100,553.8719526968224,1800.0,1000,171.85691646226488,211.01310578838968,2.1963636363636363,0.6723839223839224,0.9999487553604013,0.9999487553604013,0.040938514461971144
DeepSeek V4.1 Flash,3,147,634.5487467510695,2400.0,1527,222.98321418818762,266.6821565987551,2.909559834938102,0.6660810494260951,0.9948455001759542,0.9948455001759542,0.04689119884754736
DeepSeek V4.1 Flash,3,215,708.0709275556194,3150.0,2236,287.1814282161968,336.91718841488716,4.089182227945911,0.6744997673336436,1.0,1.0,0.052117310214114976
DeepSeek V4.1 Flash,3,266,709.1024154772364,3850.0,2751,359.4919489576257,503.9522568386674,4.176215042085256,0.6652601969057665,0.989556248815763,0.989556248815763,0.051961374594471046
DeepSeek V4.1 Flash,4,1,70.39068861161067,1850.0,130,14.206424453632263,15.11649481224048,1,0.7661498708010336,0.20816832088775458,0.20816832088775458,0.007531767419238497
DeepSeek V4.1 Flash,4,2,136.05230250380168,950.0,129,14.587549843482952,15.922739344795316,1.001303780964798,0.75390625,0.4051070897948529,0.4051070897948529,0.009943382249908853
DeepSeek V4.1 Flash,4,3,200.36380574393945,650.0,129,14.916938967050104,17.343104141681373,1.0039735099337748,0.7252604166666666,0.5943488923569419,0.5943488923569419,0.01198589259965525
DeepSeek V4.1 Flash,4,4,250.05630789412322,550.0,137,15.734393000681322,17.899348674236236,1.0086741016109046,0.7769607843137255,0.7501723979041944,0.7501723979041944,0.012203689477182466
DeepSeek V4.1 Flash,4,5,253.25669860104293,550.0,137,19.724154804373025,23.735184670343877,1.017743979721166,0.7549019607843137,0.7426200425127458,0.7426200425127458,0.014365577940200961
DeepSeek V4.1 Flash,4,6,280.3188562356474,500.0,137,21.69838298055444,26.688575098717095,1.0195058517555267,0.7557251908396947,0.7985694221181499,0.7985694221181499,0.014568870288171897
DeepSeek V4.1 Flash,4,7,291.8868997945313,450.0,131,23.632060402618286,27.80987921825309,1.0256756756756757,0.7519685039370079,0.8464067213113898,0.8464067213113898,0.015639306794700287
DeepSeek V4.1 Flash,4,8,324.5682758066119,450.0,143,24.453554179316917,29.654985620588423,1.0455696202531646,0.7652582159624414,0.9361077639261245,0.9361077639261245,0.01603328843879447
DeepSeek V4.1 Flash,4,10,361.7202272358099,400.0,142,28.048835984207795,34.58244347557813,1.054739652870494,0.7650918635170604,0.9551284009856111,0.9551284009856111,0.01928829338329214
DeepSeek V4.1 Flash,4,15,402.62090431383257,400.0,160,36.350320715758386,43.363102291710916,1.101863354037267,0.7543859649122807,0.9855972971387316,0.9855972971387316,0.01973575292303251
DeepSeek V4.1 Flash,4,22,451.4171669984572,500.0,223,47.25207286926496,56.23443074494374,1.1722846441947565,0.759090909090909,0.9913198529154867,0.9913198529154867,0.021479834116769896
DeepSeek V4.1 Flash,4,32,500.6242827614477,650.0,325,61.2240185195727,75.51443491733382,1.2508759635599158,0.7481940144478845,0.9961624777833661,0.9961624777833661,0.023912553363294033
DeepSeek V4.1 Flash,4,46,548.7507801740977,850.0,466,80.18341824639276,100.04457537896603,1.4092622509423802,0.7654046028210839,1.0,1.0,0.025734994064350137
DeepSeek V4.1 Flash,4,68,673.1240179190213,1050.0,680,100.68362131835613,121.21270994762766,1.763975155279503,0.7555205047318612,1.0,1.0,0.02880019267849237
DeepSeek V4.1 Flash,4,100,720.8170700443452,1400.0,1010,130.67208915229472,158.7146703505261,2.2208251473477407,0.7469073888331662,1.0,1.0,0.034237329389483075
