scenario,system_prefix_duplicate_fraction,family_context_duplicate_fraction,effective_context_tokens_per_agent,model,node_count,agent_count,tokens_per_second,mean_token_latency_ms,p95_token_latency_ms,mean_expert_batch_size,maximum_network_link_busy_fraction
independent,0.0,0.0,100000.0,Qwen3.8 Flash Next,7,2915,7254.686623384841,401.58870489843656,411.86915111912225,53.85957708889345,0.11049222190760428
system-90-family-70,0.9,0.7,100000.0,Qwen3.8 Flash Next,7,1,66.33910492209075,15.074065306946922,15.702337759854675,1,0.00397602055493349
system-90-family-70,0.9,0.7,77000.0,Qwen3.8 Flash Next,7,2,133.44158757400936,14.920991653166425,16.365943627581,1.0007581501137226,0.0047577552417742384
system-90-family-70,0.9,0.7,69333.33333333333,Qwen3.8 Flash Next,7,3,198.7658169705692,15.039993380556968,15.991486761991338,1.0007942811755361,0.005218873596723823
system-90-family-70,0.9,0.7,65500.0,Qwen3.8 Flash Next,7,4,264.44241723551403,15.12712963861561,16.60527335905993,1.0054988216810683,0.006496953338512703
system-90-family-70,0.9,0.7,63200.0,Qwen3.8 Flash Next,7,5,322.0329605501443,15.336128263221767,17.126804825196743,1.0113268608414239,0.0064952526626158216
system-90-family-70,0.9,0.7,61666.66666666667,Qwen3.8 Flash Next,7,6,369.28073392960806,15.977555619730866,19.988720313051104,1.0136765888978279,0.007567301416668589
system-90-family-70,0.9,0.7,60571.42857142857,Qwen3.8 Flash Next,7,7,434.1962663735353,15.759494136376404,17.500454590264887,1.0177993527508091,0.007673069200062807
system-90-family-70,0.9,0.7,59750.0,Qwen3.8 Flash Next,7,8,431.5944767795769,18.23313465631578,22.027661651982733,1.027542372881356,0.009688067519502129
system-90-family-70,0.9,0.7,58600.0,Qwen3.8 Flash Next,7,10,469.7595613559396,20.636359136097703,23.68009578743559,1.0426829268292683,0.009482884841008727
system-90-family-70,0.9,0.7,57066.66666666667,Qwen3.8 Flash Next,7,15,605.980857703127,23.456439147004932,29.351853330547005,1.0968218773096823,0.01134171913069654
system-90-family-70,0.9,0.7,56090.90909090909,Qwen3.8 Flash Next,7,22,739.0172587348391,28.23395296877732,33.40925222863209,1.1654991243432575,0.013727469128680048
system-90-family-70,0.9,0.7,55437.5,Qwen3.8 Flash Next,7,32,1029.6834002693977,29.930391241386623,38.0923745700849,1.2722103766879886,0.019157040531431035
system-90-family-70,0.9,0.7,55266.30434782609,Qwen3.8 Flash Next,7,46,1294.5274330362317,33.06991002999999,40.88810797429061,1.4613095238095237,0.024419171150181936
system-90-family-70,0.9,0.7,55139.70588235294,Qwen3.8 Flash Next,7,68,1639.8940897421016,37.76656953000678,43.61001646790643,1.880316518298714,0.029193162490622097
system-90-family-70,0.9,0.7,55055.0,Qwen3.8 Flash Next,7,100,2359.070224403917,41.97058172914616,49.0814178007098,2.4699588477366254,0.03502571583103088
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,147,3130.392127332427,46.172055048934745,53.24028081369291,3.4069611780455156,0.05361857453198437
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,215,3687.1692636452485,51.82594976774748,58.532101501727375,4.742911877394636,0.06390738963330844
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,316,4686.991785740317,59.22931396135044,67.77487042677846,6.763177710843373,0.08156193512252896
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,464,6615.180472371235,69.73434746211848,76.68440731824249,9.276289484206318,0.09935300837541064
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,681,8020.771201008044,84.3777540636642,91.92717345452482,13.259345794392523,0.11891919343716205
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,1000,9466.061872256098,105.50448789410183,112.48139092652488,19.37233630375823,0.144114105215504
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,1468,10579.543152541506,138.82515245607868,145.80206007383043,25.781524411661398,0.16008551004940835
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,2154,11372.667618570707,189.5390493235952,197.5760140265894,39.3640350877193,0.1761959028403194
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,3162,10050.147657541293,266.6990333982293,277.7841087344286,56.94754917265064,0.1761221149349414
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,4642,11857.030679750203,387.4276480945278,405.5992056374285,69.26529394210684,0.17873144019013676
system-90-family-70,0.9,0.7,55015.625,Qwen3.8 Flash Next,7,5298,12098.681633280601,437.18463194344207,456.7461652023027,69.83917743211178,0.1849479700403843
system-95-family-70,0.95,0.7,100000.0,Qwen3.8 Flash Next,7,1,66.33910492209075,15.074065306946922,15.702337759854675,1,0.00397602055493349
system-95-family-70,0.95,0.7,76500.0,Qwen3.8 Flash Next,7,2,133.47834411190283,14.916895653166424,16.361847627581,1.0007581501137226,0.0047577354549378755
system-95-family-70,0.95,0.7,68666.66666666666,Qwen3.8 Flash Next,7,3,198.8376928764831,15.034537508556978,15.924382088402034,1.0007942811755361,0.005218828697101899
system-95-family-70,0.95,0.7,64750.0,Qwen3.8 Flash Next,7,4,264.5498730428589,15.12098563861561,16.59912935905993,1.0054988216810683,0.006496870897366089
system-95-family-70,0.95,0.7,62400.0,Qwen3.8 Flash Next,7,5,322.1711585671394,15.329574663221779,17.120251225196778,1.0113268608414239,0.006495141642652536
system-95-family-70,0.95,0.7,60833.333333333336,Qwen3.8 Flash Next,7,6,369.4550337570869,15.970056942657699,19.97505605705109,1.0136765888978279,0.007567146360695435
system-95-family-70,0.95,0.7,59714.28571428571,Qwen3.8 Flash Next,7,7,434.3916332695289,15.752473592376404,17.493434046264888,1.0177993527508091,0.007672878080867814
system-95-family-70,0.95,0.7,58875.0,Qwen3.8 Flash Next,7,8,426.55879662199146,18.13483406211,21.771964020427497,1.0320197044334976,0.009196872855409972
system-95-family-70,0.95,0.7,57700.0,Qwen3.8 Flash Next,7,10,470.12001010322376,20.620994446021353,23.665350187435568,1.0426504188880426,0.009482635055630335
system-95-family-70,0.95,0.7,56133.333333333336,Qwen3.8 Flash Next,7,15,662.7725434967433,22.188916757573402,25.223462926384418,1.1173184357541899,0.012867041688406198
system-95-family-70,0.95,0.7,55136.36363636364,Qwen3.8 Flash Next,7,22,739.6960881744161,28.21534243593755,33.27688998838565,1.1668122270742358,0.013537598240287512
system-95-family-70,0.95,0.7,54468.75,Qwen3.8 Flash Next,7,32,966.4553080758327,30.399856399008524,36.97889067401713,1.2776572668112798,0.0193004371066267
system-95-family-70,0.95,0.7,54288.04347826087,Qwen3.8 Flash Next,7,46,1270.639402330987,34.946972212472225,43.210260678120676,1.4293670886075949,0.022755208801691327
system-95-family-70,0.95,0.7,54154.41176470588,Qwen3.8 Flash Next,7,68,1637.3852982483957,38.23888324988647,44.381265215632645,1.8869077941925625,0.028411120905548606
